gene_id,BonitaEye1,BonitaEye2,BonitaEye3,BonitaEye4,CuevaEye1,CuevaEye2,CuevaEye3,CuevaEye4,LunaEye1,LunaEye2,LunaEye3,LunaEye4,PSOEye1,PSOEye2,PSOEye3,PSOEye4
gene6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6447,0,0,0,0,0,98,0,0,0,0,35,0,0,0,0,0
gene6446,10,6,3,0,0,38,16,0,17,0,6,0,82,14,0,0
gene27007,0,0,0,0,0,35,0,0,0,0,0,0,6,6,6,0
gene27006,20,0,0,0,0,0,0,0,17,0,11,3,32,3,2,3
gene27005,0,0,9,0,0,9,0,0,10,0,20,0,14,12,0,0
gene27004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene27003,9,0,0,0,0,5,0,0,17,0,24,0,8,4,0,0
gene27002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene27001,11,0,10,19,0,49,0,0,22,0,34,19,35,20,0,0
gene27000,26,0,6,0,54,50,12,0,16,0,27,27,44,34,7,25
gene27009,0,0,0,0,0,0,0,0,9,0,17,0,0,5,0,0
gene27008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene19894,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
gene12429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene12428,0,0,0,0,0,3,0,0,6,0,0,0,0,4,0,0
gene12421,38,0,0,0,26,170,0,5,26,0,51,9,24,25,0,0
gene12420,3,0,1,0,0,0,0,0,17,0,9,0,11,35,0,0
gene12423,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
gene12422,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0
gene12425,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0
gene12424,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
gene12427,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
gene12426,25,0,0,0,0,3,0,3,10,0,13,6,17,11,10,11
gene3088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene3089,9,0,0,22,31,3,3,8,6,0,22,3,11,3,3,0
gene3082,15,0,0,0,0,11,0,6,20,0,3,0,19,6,0,0
gene3083,0,0,0,0,0,20,0,3,0,0,0,3,0,0,0,0
gene3080,52,3,13,11,0,29,14,0,31,0,57,12,18,69,0,0
gene3081,59,0,12,21,0,77,0,9,51,0,54,3,9,44,35,3
gene3086,15,0,4,0,0,24,16,0,24,0,87,0,30,10,0,0
gene3087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene19896,0,0,0,0,0,20,0,0,26,0,18,0,0,0,14,0
gene15014,8,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0
gene19890,53,0,9,0,0,30,0,0,59,0,126,13,97,83,27,0
gene29126,73,0,14,3,0,154,0,7,127,0,128,76,89,42,16,4
gene29127,19,0,3,0,0,125,0,8,44,0,28,16,9,21,0,0
gene29124,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0
gene29125,40,0,9,0,0,42,0,0,40,0,10,40,62,19,0,0
gene29122,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
gene29123,3,0,4,0,0,11,0,0,0,0,6,6,29,14,0,0
gene29120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene29121,0,0,0,0,0,14,0,0,46,0,10,0,16,11,5,0
gene23210,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
gene29128,4,0,0,0,0,38,14,0,3,0,18,11,6,10,19,0
gene29129,0,0,0,7,0,0,0,7,0,0,0,2,0,0,0,0
gene23211,154,10,44,38,48,129,43,2,109,0,48,21,248,221,37,8
gene24240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gene24068,18,0,0,6,3,0,13,0,14,0,0,8,0,14,3,0
gene24069,17,0,0,0,0,11,0,0,24,0,0,0,0,13,3,0
gene24064,42,0,15,0,40,109,0,8,97,0,154,23,78,23,5,4
gene24065,0,0,0,0,0,16,0,0,0,0,12,6,3,0,0,0
gene24066,32,0,10,0,0,38,0,0,55,0,32,13,50,65,9,0
gene24243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene24060,153,7,31,0,54,89,19,6,128,0,45,51,190,53,6,0
